title,rank,star,quote,comment
魔女宅急便,192,8.6,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,308185
海洋,193,9.1,大海啊，不全是水。,123012
惊魂记,194,8.9,故事的反转与反转，分裂电影的始祖。,146929
燃情岁月,195,8.8,传奇，不是每个人都可以拥有。,200788
罗生门,196,8.8,人生的N种可能性。,199112
穿越时空的少女,197,8.6,爱上未来的你。 ,275205
疯狂的石头,198,8.4,中国版《两杆大烟枪》。,516713
魂断蓝桥,199,8.8,中国式内在的美国电影。,181246
新世界,200,8.8,要做就做得狠一点，这样才能活下去。,191564
哈利·波特与阿兹卡班的囚徒,201,8.6,不一样的导演，不一样的哈利·波特。,327841
奇迹男孩,202,8.6,世界不完美，爱会有奇迹。,372282
终结者2：审判日,203,8.7,少见的超越首部的续集，动作片中的经典。,229126
完美陌生人,204,8.5,来啊，互相伤害啊！,369304
可可西里,205,8.8,坚硬的信仰。,191064
初恋这件小事,206,8.4,黑小鸭速效美白记。,701663
阿飞正传,207,8.5,王家卫是一种风格，张国荣是一个代表。,327410
爱在午夜降临前,208,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,194719
牯岭街少年杀人事件,209,8.8,弱者送给弱者的一刀。,167310
哈利·波特与密室,210,8.5,魔法的密室之门已打开...,346099
猜火车,211,8.5,不可猜的青春迷笛。 ,324401
2001太空漫游,212,8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。,179210
香水,213,8.5,一个单凭体香达到高潮的男人。,392945
谍影重重2,214,8.6,谁说王家卫镜头很晃？,240779
谍影重重,215,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,287396
战争之王,216,8.6,做一颗让别人需要你的棋子。,244934
无耻混蛋,217,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,326588
地球上的星星,218,8.9,天使保护事件始末。,135809
青蛇,219,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,334610
新龙门客栈,220,8.6,嬉笑怒骂，调风动月。,288791
绿里奇迹,221,8.8,天使暂时离开。,169691
